Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Guadalquivir;NO;Sierra Boyera;Guadiato;41;14;0;0;0;
2018;7;Guadalquivir;NO;Siles;Guadalimar;30;6;0;0;0;
2018;7;Guadalquivir;NO;Torre del Águila;Salado;49;14;0;0;0;
2018;7;Guadalquivir;NO;Tranco de Beas;Guadalquivir;498;167;2;175;23;
2018;7;Guadalquivir;NO;Vadomojón;Guadajoz;163;38;0;0;0;
2018;7;Guadalquivir;NO;Víboras;Víboras;19;9;0;0;0;
2018;7;Guadalquivir;NO;Yeguas;Yeguas;229;52;0;29;22;
2018;7;Guadalquivir;NO;Zufre;Rivera de Huelva;175;113;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Benínar;Grande de Adra;63;5;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Béznar;Izbor;53;25;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Casasola;Campanillas;22;9;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Charco Redondo;Palmones;82;26;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Concepción;Verde de Marbella;62;31;-1;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Conde Guadalhorce;Turón;66;22;0;5;1;
2018;7;Cuenca Mediterránea Andaluza;NO;Cuevas de Almanzora;Almanzora;161;9;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Guadalhorce-Guadalteba;Gudalhorce-Guadalteba;279;99;0;23;5;
2018;7;Cuenca Mediterránea Andaluza;NO;Guadarranque;Guadarranque;88;43;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Limonero;Guadalmedina;22;10;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Rules;Guadalfeo;111;44;0;0;0;
2018;7;Cuenca Mediterránea Andaluza;NO;Viñuela, La;Guaro;165;36;0;0;0;
2018;7;Segura;NO;Alfonso XIII;Quípar;22;5;1;4;1;
2018;7;Segura;NO;Algeciras;Algeciras;45;6;0;0;0;
2018;7;Segura;SI;Anchuricas;Segura;6;5;-1;4;4;
2018;7;Segura;NO;Argos;Argos;10;8;0;2;1;
2018;7;Segura;NO;Camarillas;Mundo;36;9;-1;8;3;
2018;7;Segura;NO;Cenajo;Segura;437;35;1;103;4;
2018;7;Segura;NO;Cierva, La;Mula;7;4;0;0;0;
2018;7;Segura;NO;Crevillente;Rambla de Bosch;13;4;1;0;0;
2018;7;Segura;NO;Fuensanta;Segura;210;21;1;45;5;
2018;7;Segura;NO;La Pedrera;Dep.Arr.Grande;246;63;0;0;0;
2018;7;Segura;NO;Puentes;Guadalentín;26;3;0;0;0;
2018;7;Segura;NO;Santomera;Rambla Salada;26;2;0;0;0;
2018;7;Segura;NO;Taibilla;Taibilla;9;3;0;2;1;
2018;7;Segura;NO;Talave;Mundo;35;14;1;10;3;
2018;7;Segura;NO;Valdeinfierno;Alcaide;13;1;0;0;0;
2018;7;Júcar;NO;Alarcón;Júcar;1.118;307;0;1.596;441;
2018;7;Júcar;NO;Algar;Palancia;6;0;0;0;0;
2018;7;Júcar;NO;Amadorio;Amadorio;16;6;0;0;0;
2018;7;Júcar;NO;Arenós;Mijares;137;69;1;113;60;
2018;7;Júcar;NO;Arquillo de San Blas;Turia;21;3;0;7;1;
2018;7;Júcar;NO;Bellús;Albaida;69;9;0;0;0;
2018;7;Júcar;NO;Benagéber;Turia;221;68;1;59;18;
2018;7;Júcar;NO;Beniarrés;Serpis;27;15;0;0;0;
2018;7;Júcar;NO;Buseo;Sot de Chera;8;3;-1;0;0;
2018;7;Júcar;NO;Contreras;Cabriel;852;86;0;549;55;
2018;7;Júcar;SI;Cortes II;Júcar;118;105;-3;17;10;
